Designator,Mid X,Mid Y,Rotation,Layer
R41,170.561,-83.1342,180,top
R42,170.5864,-100.6094,180,top
R43,185.9026,-104.5718,0,bottom
R44,119.126,-117.1702,0,bottom
R45,139.0924,-114.74,270,bottom
R46,137.5684,-114.74,270,bottom
R47,160.528,-71.0438,270,bottom
R48,160.528,-74.1172,90,bottom
R49,149.8854,-71.7296,270,bottom
R5,129.921,-106.934,90,bottom
R50,118.872,-63.881,90,bottom
R51,118.872,-61.214,270,bottom
R52,123.571,-63.816,90,bottom
R53,123.571,-61.276,270,bottom
R54,128.4986,-65.657,90,bottom
R55,127.381,-65.6682,90,bottom
R56,113.284,-82.931,0,bottom
R57,113.284,-83.947,180,bottom
R58,108.1786,-84.963,0,bottom
R59,113.284,-84.925,0,bottom
R6,169.7736,-105.41,270,bottom
R61,113.284,-86.9696,0,bottom
R62,113.284,-85.941,180,bottom
R63,131.5212,-99.2124,90,bottom
R64,130.4036,-99.2124,90,bottom
R65,143.567,-82.9565,180,bottom
R67,138.0998,-64.77,270,bottom
R68,140.1826,-64.7446,90,bottom
R69,137.033,-64.77,90,bottom
R7,168.7322,-105.412,270,bottom
R70,168.148,-62.21,270,top
R71,133.1214,-61.5696,90,top
R72,157.0482,-56.7436,90,top
R73,132.334,-54.483,90,bottom
R74,119.5783,-101.6214,180,bottom
R75,121.6103,-101.6214,0,bottom
R76,107.061,-109.093,90,bottom
R8,144.4498,-102.1842,270,bottom
R9,168.4274,-54.8025,270,bottom
U1,156.2354,-98.4504,90,bottom
U10,122.809,-70.612,90,bottom
U11,127.508,-70.612,90,bottom
U12,132.461,-70.612,90,bottom
U13,124,-85,0,bottom
U14,110.862,-85,180,top
U15,127.33,-99.2126,90,bottom
U16,143.637,-86.233,90,bottom
U17,142.5601,-62.435,270,top
U18,160.09565,-62.1876,90,top
U19,171.389,-61.976,270,bottom
U2,173.1518,-104.5718,270,bottom
U20,130.9268,-61.5751,90,bottom
U21,120.6832,-99.3394,180,bottom
U22,161.0074,-111.493,180,bottom
U23,143.114,-66.0385,90,top
U3,156.3688,-65.9369,90,top
U4,174.25765,-79.2534,0,top
U5,174.29725,-96.6628,0,top
U6,185.9026,-101.3968,270,bottom
U7,138.3304,-109.279,270,bottom
U8,155.194,-72.9488,0,bottom
U9,118.11,-70.612,90,bottom
X1,145.4658,-105.8926,90,bottom
