:2
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:1
C50:1
C51:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
F1:1
G***:2
H1:1
H2:1
H3:1
H4:1
J1:1
J2:1
J3:1
J4:1
L1:1
L10:1
L11:1
L2:1
L3:1
L4:1
L5:1
L6:1
L7:1
L8:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
U1:1
U10:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
Y1:1
Y2:1
